REPOSITORY                                                                  TAG                                                                IMAGE ID       CREATED         SIZE
lazzaro-base-api                                                            6june21_v1                                                         0614ee6ab763   5 months ago    1.26GB
504171812720.dkr.ecr.eu-west-1.amazonaws.com/x-ray                          1.0                                                                0d6a4140752a   6 months ago    434MB
xray                                                                        v1                                                                 0d6a4140752a   6 months ago    434MB
730139607634.dkr.ecr.eu-west-1.amazonaws.com/python                         latest                                                             5b3b4504ff1f   6 months ago    886MB
python                                                                      latest                                                             5b3b4504ff1f   6 months ago    886MB
109139691401.dkr.ecr.us-east-1.amazonaws.com/uva_ws_repository              <none>                                                             f6d44ab9644e   6 months ago    133MB
109139691401.dkr.ecr.us-east-1.amazonaws.com/uva_ws_repository              user_service                                                       66539767f25f   6 months ago    133MB
user_service                                                                ass32                                                              66539767f25f   6 months ago    133MB
edreinoso23/uva_ws_user_service                                             3.2                                                                852355274342   6 months ago    133MB
edreinoso23/uva_ws_user_service                                             latest                                                             852355274342   6 months ago    133MB
uva_ws_url_service                                                          ass3.1v1                                                           024d08ba36b8   6 months ago    137MB
109139691401.dkr.ecr.us-east-1.amazonaws.com/uva_ws_repository              ass3.1v1                                                           264612af5fc0   6 months ago    135MB
uva_ws_user_service                                                         ass3.1v1                                                           264612af5fc0   6 months ago    135MB
lazzaro-ongs-template                                                       v9                                                                 332c76834ed8   6 months ago    968MB
user-service                                                                python3.8slim                                                      8d58b92d4a64   6 months ago    140MB
lazzaro-ongs-template                                                       v8                                                                 b458faa1da7a   7 months ago    967MB
lazzaro-ongs-template                                                       v7                                                                 8d6047571369   7 months ago    967MB
lazzaro-ongs-template                                                       v6                                                                 665158437a64   7 months ago    967MB
648410456371.dkr.ecr.eu-central-1.amazonaws.com/lazzaro-front-repo          client4                                                            8fc656e6950d   7 months ago    967MB
lazzaro-ongs-template                                                       v5                                                                 8fc656e6950d   7 months ago    967MB
url-short-service                                                           latest                                                             62b251095dca   7 months ago    127MB
648410456371.dkr.ecr.eu-central-1.amazonaws.com/lazzaro-front-repo          v4                                                                 7b6534f86275   7 months ago    967MB
648410456371.dkr.ecr.eu-central-1.amazonaws.com/lazzaro-front-repo          v3                                                                 b6335128e74b   7 months ago    967MB
lazzaro-ongs-template                                                       v4                                                                 b6335128e74b   7 months ago    967MB
648410456371.dkr.ecr.eu-central-1.amazonaws.com/lazzaro-front-repo          v2                                                                 cb02938640ec   7 months ago    967MB
lazzaro-ongs-template                                                       v3                                                                 cb02938640ec   7 months ago    967MB
aws-cdk-bin                                                                 latest                                                             a2bdaff36581   7 months ago    1.08GB
648410456371.dkr.ecr.eu-central-1.amazonaws.com/lazzaro-front-repo          v1                                                                 9d6583aa26fb   7 months ago    967MB
lazzaro-ongs-template                                                       v2                                                                 9d6583aa26fb   7 months ago    967MB
lazzaro-ongs-template                                                       v1                                                                 914586773620   7 months ago    967MB
109139691401.dkr.ecr.us-east-1.amazonaws.com/uva_ws_repository              url_v3                                                             27f23b735ca4   7 months ago    150MB
uva_ws_url_service                                                          3.3                                                                27f23b735ca4   7 months ago    150MB
109139691401.dkr.ecr.us-east-1.amazonaws.com/uva_ws_repository              user_v3                                                            8c745129ee04   7 months ago    150MB
uva_ws_user_service                                                         3.9                                                                8c745129ee04   7 months ago    150MB
uva_ws_url_service                                                          3.0                                                                09fb2f3ad683   7 months ago    134MB
uva_ws_user_service                                                         3.6                                                                2bdf6c7c624e   7 months ago    150MB
uva_ws_user_service                                                         3.5                                                                6e7afbfcbd3a   7 months ago    150MB
uva_ws_user_service                                                         3.4                                                                bd4d82fb260e   7 months ago    150MB
uva_ws_user_service                                                         3.3                                                                07fc7b4744ef   7 months ago    150MB
uva_ws_user_service                                                         v3.2                                                               c4d9ca66a1ab   7 months ago    150MB
uva_ws_user_service                                                         v3.1                                                               73c88a7b0da1   7 months ago    150MB
uva_ws_user_service                                                         v3                                                                 3cce6e1acbfa   7 months ago    150MB
504171812720.dkr.ecr.eu-west-1.amazonaws.com/x-ray                          2.0                                                                03b01696ec48   7 months ago    173MB
amazon/aws-xray-daemon                                                      latest                                                             03b01696ec48   7 months ago    173MB
registry                                                                    2                                                                  1fd8e1b0bb7e   7 months ago    26.2MB
node                                                                        lts                                                                d6602e31594f   7 months ago    943MB
gcr.io/k8s-minikube/kicbase                                                 v0.0.20                                                            c6f4fc187bc1   7 months ago    1.09GB
ubuntu                                                                      16.04                                                              f6f49faac5cf   8 months ago    132MB
130193131803.dkr.ecr.us-east-1.amazonaws.com/aws-cdk/assets                 929852ca5faab37ed0b58459988ee9b0bd58d440fa453fd59caec7a6bafceb2c   4c898cb5b3ed   8 months ago    8.67MB
cdkasset-929852ca5faab37ed0b58459988ee9b0bd58d440fa453fd59caec7a6bafceb2c   latest                                                             4c898cb5b3ed   8 months ago    8.67MB
pinger                                                                      latest                                                             4c898cb5b3ed   8 months ago    8.67MB
lazzaro-base-api                                                            latest                                                             789bf1c6f8cc   9 months ago    1.2GB
648410456371.dkr.ecr.eu-central-1.amazonaws.com/ecr-dev-ecs-cluster         <none>                                                             95f4ec958b77   9 months ago    1.2GB
node                                                                        10                                                                 483b6b973b1e   9 months ago    910MB
edreinoso23/docker101                                                       latest                                                             5093706e8bbd   9 months ago    179MB
docker101                                                                   latest                                                             5093706e8bbd   9 months ago    179MB
648410456371.dkr.ecr.eu-central-1.amazonaws.com/ecr-ecs-cluster             v1                                                                 5093706e8bbd   9 months ago    179MB
648410456371.dkr.ecr.eu-central-1.amazonaws.com/ecr-tst-ecs-cluster         v1                                                                 5093706e8bbd   9 months ago    179MB
docker/getting-started                                                      latest                                                             021a1b85e641   11 months ago   27.6MB
109139691401.dkr.ecr.us-east-1.amazonaws.com/encs691_repository             latest                                                             e03e5090f119   12 months ago   1.13GB
edreinoso23/encs691k-back                                                   latest                                                             e03e5090f119   12 months ago   1.13GB
109139691401.dkr.ecr.us-east-1.amazonaws.com/uva_ws_repository              <none>                                                             e03e5090f119   12 months ago   1.13GB
edreinoso23/ecs-ci-cd                                                       latest                                                             3515e3eb5fce   12 months ago   469MB
ubuntu                                                                      latest                                                             d70eaf7277ea   13 months ago   72.9MB
node                                                                        12                                                                 2731b47de998   13 months ago   918MB
lambci/lambda                                                               build-python3.6                                                    b4edbfd12695   14 months ago   2.37GB
lambci/lambda                                                               build-python2.7                                                    7c2739af46ad   14 months ago   2.15GB
python                                                                      alpine                                                             0f03316d4a27   14 months ago   42.7MB
nginx                                                                       alpine                                                             6f715d38cfe0   15 months ago   22.1MB
amazonlinux                                                                 2                                                                  ba2cc467a2bc   16 months ago   163MB
node                                                                        12-alpine                                                          18f4bc975732   16 months ago   89.3MB
alpine                                                                      latest                                                             a24bb4013296   18 months ago   5.57MB
nginx                                                                       1.17.10                                                            9beeba249f3e   18 months ago   127MB
